movieId,title,genre,
0000000006,Heat (1995),Action|Crime|Thriller,
0000000050,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,
0000000111,Taxi Driver (1976),Crime|Drama|Thriller,
0000000150,Apollo 13 (1995),Adventure|Drama|IMAX,
0000000165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller,
0000000231,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy,
0000000266,Legends of the Fall (1994),Drama|Romance|War|Western,
0000000293,LÃ©on: The Professional (a.k.a. The Professional) (LÃ©on) (1994),Action|Crime|Drama|Thriller,
0000000296,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller,
0000000318,"Shawshank Redemption, The (1994)",Crime|Drama,
0000000356,Forrest Gump (1994),Comedy|Drama|Romance|War,
0000000420,Beverly Hills Cop III (1994),Action|Comedy|Crime|Thriller,
0000000480,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller,
0000000527,Schindler's List (1993),Drama|War,
0000000553,Tombstone (1993),Action|Drama|Western,
0000000586,Home Alone (1990),Children|Comedy,
0000000589,Terminator 2: Judgment Day (1991),Action|Sci-Fi,
0000000608,Fargo (1996),Comedy|Crime|Drama|Thriller,
0000000778,Trainspotting (1996),Comedy|Crime|Drama,
0000000858,"Godfather, The (1972)",Crime|Drama,
0000000904,Rear Window (1954),Mystery|Thriller,
0000000912,Casablanca (1942),Drama|Romance,
0000001036,Die Hard (1988),Action|Crime|Thriller,
0000001089,Reservoir Dogs (1992),Crime|Mystery|Thriller,
0000001193,One Flew Over the Cuckoo's Nest (1975),Drama,
0000001200,Aliens (1986),Action|Adventure|Horror|Sci-Fi,
0000001201,"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)",Action|Adventure|Western,
0000001203,12 Angry Men (1957),Drama,
0000001206,"Clockwork Orange, A (1971)",Crime|Drama|Sci-Fi|Thriller,
0000001213,Goodfellas (1990),Crime|Drama,
0000001214,Alien (1979),Horror|Sci-Fi,
0000001221,"Godfather: Part II, The (1974)",Crime|Drama,
0000001227,Once Upon a Time in America (1984),Crime|Drama,
0000001252,Chinatown (1974),Crime|Film-Noir|Mystery|Thriller,
0000001266,Unforgiven (1992),Drama|Western,
0000001339,Dracula (Bram Stoker's Dracula) (1992),Fantasy|Horror|Romance|Thriller,
0000001370,Die Hard 2 (1990),Action|Adventure|Thriller,
0000001377,Batman Returns (1992),Action|Crime,
0000001573,Face/Off (1997),Action|Crime|Drama|Thriller,
0000001584,Contact (1997),Drama|Sci-Fi,
0000001619,Seven Years in Tibet (1997),Adventure|Drama|War,
0000001645,The Devil's Advocate (1997),Drama|Mystery|Thriller,
0000001690,Alien: Resurrection (1997),Action|Horror|Sci-Fi,
0000001704,Good Will Hunting (1997),Drama|Romance,
0000001721,Titanic (1997),Drama|Romance,
0000001954,Rocky (1976),Drama,
0000001961,Rain Man (1988),Drama,
0000001997,"Exorcist, The (1973)",Horror|Mystery,
0000002011,Back to the Future Part II (1989),Adventure|Comedy|Sci-Fi,
0000002023,"Godfather: Part III, The (1990)",Crime|Drama|Mystery|Thriller,
0000002028,Saving Private Ryan (1998),Action|Drama|War,
0000002167,Blade (1998),Action|Horror|Thriller,
0000002329,American History X (1998),Crime|Drama,
0000002409,Rocky II (1979),Action|Drama,
0000002410,Rocky III (1982),Action|Drama,
0000002411,Rocky IV (1985),Action|Drama,
0000002571,"Matrix, The (1999)",Action|Sci-Fi|Thriller,
0000002959,Fight Club (1999),Action|Crime|Drama|Thriller,
0000003147,"Green Mile, The (1999)",Crime|Drama,
0000003178,"Hurricane, The (1999)",Drama,
0000003198,Papillon (1973),Crime|Drama,
0000003362,Dog Day Afternoon (1975),Crime|Drama,
0000003510,Frequency (2000),Drama|Thriller,
0000003578,Gladiator (2000),Action|Adventure|Drama,
0000003916,Remember the Titans (2000),Drama,
0000004022,Cast Away (2000),Drama,
0000004084,Beverly Hills Cop II (1987),Action|Comedy|Crime|Thriller,
0000004085,Beverly Hills Cop (1984),Action|Comedy|Crime|Drama,
0000004223,Enemy at the Gates (2001),Drama|War,
0000004226,Memento (2000),Mystery|Thriller,
0000004262,Scarface (1983),Action|Crime|Drama,
0000004776,Training Day (2001),Crime|Drama|Thriller,
0000004993,"Lord of the Rings: The Fellowship of the Ring, The (2001)",Adventure|Fantasy,
0000004995,"Beautiful Mind, A (2001)",Drama|Romance,
0000005219,Resident Evil (2002),Action|Horror|Sci-Fi|Thriller,
0000005254,Blade II (2002),Action|Horror|Thriller,
0000005418,"Bourne Identity, The (2002)",Action|Mystery|Thriller,
0000005574,"Transporter, The (2002)",Action|Crime,
0000005810,8 Mile (2002),Drama,
0000005952,"Lord of the Rings: The Two Towers, The (2002)",Adventure|Fantasy,
0000005956,Gangs of New York (2002),Crime|Drama,
0000005989,Catch Me If You Can (2002),Crime|Drama,
0000005995,"Pianist, The (2002)",Drama|War,
0000006365,"Matrix Reloaded, The (2003)",Action|Adventure|Sci-Fi|Thriller|IMAX,
0000006534,Hulk (2003),Action|Adventure|Sci-Fi,
0000006548,Bad Boys II (2003),Action|Comedy|Crime|Thriller,
0000006550,Johnny English (2003),Action|Comedy|Thriller,
0000006754,Underworld (2003),Action|Fantasy|Horror,
0000006863,School of Rock (2003),Comedy|Musical,
0000006874,Kill Bill: Vol. 1 (2003),Action|Crime|Thriller,
0000006934,"Matrix Revolutions, The (2003)",Action|Adventure|Sci-Fi|Thriller|IMAX,
0000006979,WarGames (1983),Drama|Sci-Fi|Thriller,
0000007153,"Lord of the Rings: The Return of the King, The (2003)",Action|Adventure|Drama|Fantasy,
0000007387,Dawn of the Dead (1978),Action|Drama|Horror,
0000007438,Kill Bill: Vol. 2 (2004),Action|Drama|Thriller,
0000008529,"Terminal, The (2004)",Comedy|Drama|Romance,
0000008638,Before Sunset (2004),Drama|Romance,
0000008665,"Bourne Supremacy, The (2004)",Action|Crime|Thriller,
0000008861,Resident Evil: Apocalypse (2004),Action|Horror|Sci-Fi|Thriller,
0000008985,Blade: Trinity (2004),Action|Fantasy|Horror|Thriller,
0000026294,My Name Is Nobody (Il Mio nome Ã¨ Nessuno) (1973),Comedy|Western,
0000030707,Million Dollar Baby (2004),Drama,
0000031364,Memories of Murder (Salinui chueok) (2003),Crime|Drama|Mystery|Thriller,
0000033794,Batman Begins (2005),Action|Crime|IMAX,
0000034150,Fantastic Four (2005),Action|Adventure|Sci-Fi,
0000036519,Transporter 2 (2005),Action|Crime|Thriller,
0000042738,Underworld: Evolution (2006),Action|Fantasy|Horror,
0000044665,Lucky Number Slevin (2006),Crime|Drama|Mystery,
0000048304,Apocalypto (2006),Adventure|Drama|Thriller,
0000048780,"Prestige, The (2006)",Drama|Mystery|Sci-Fi|Thriller,
0000053464,Fantastic Four: Rise of the Silver Surfer (2007),Action|Adventure|Sci-Fi,
0000053972,Live Free or Die Hard (2007),Action|Adventure|Crime|Thriller,
0000053996,Transformers (2007),Action|Sci-Fi|Thriller|IMAX,
0000054771,"Invasion, The (2007)",Action|Drama|Horror|Sci-Fi|Thriller,
0000056145,"Mist, The (2007)",Horror|Sci-Fi,
0000057528,Rambo (Rambo 4) (2008),Action|Drama|Thriller|War,
0000058559,"Dark Knight, The (2008)",Action|Crime|Drama|IMAX,
0000059369,Taken (2008),Action|Crime|Drama|Thriller,
0000060040,"Incredible Hulk, The (2008)",Action|Sci-Fi,
0000064030,Transporter 3 (2008),Action|Adventure|Crime|Thriller,
0000064957,"Curious Case of Benjamin Button, The (2008)",Drama|Fantasy|Mystery|Romance,
0000064983,Valkyrie (2008),Drama|Thriller|War,
0000065514,Ip Man (2008),Action|Drama|War,
0000065682,Underworld: Rise of the Lycans (2009),Action|Fantasy|Horror|Thriller,
0000068157,Inglourious Basterds (2009),Action|Drama|War,
0000069275,Dead Snow (DÃ¸d snÃ¸) (2009),Action|Adventure|Comedy|Horror,
0000069526,Transformers: Revenge of the Fallen (2009),Action|Adventure|Sci-Fi|IMAX,
0000072731,"Lovely Bones, The (2009)",Crime|Drama|Fantasy|Horror|Thriller,
0000073808,"Chaser, The (Chugyeogja) (2008)",Crime|Drama|Thriller,
0000074851,From Paris with Love (2010),Action|Crime,
0000076175,Clash of the Titans (2010),Action|Adventure|Drama|Fantasy,
0000078772,"Twilight Saga: Eclipse, The (2010)",Fantasy|Romance|Thriller|IMAX,
0000079132,Inception (2010),Action|Crime|Drama|Mystery|Sci-Fi|Thriller|IMAX,
0000079695,"Expendables, The (2010)",Action|Adventure|Thriller,
0000080363,Resident Evil: Afterlife (2010),Action|Horror|Sci-Fi|Thriller|IMAX,
0000080846,Devil (2010),Horror|Mystery|Thriller,
0000081520,Undisputed III: Redemption (2010),Action|Crime|Drama,
0000081932,"Fighter, The (2010)",Drama,
0000084601,Unknown (2011),Drama|Mystery|Thriller,
0000085414,Source Code (2011),Action|Drama|Mystery|Sci-Fi|Thriller,
0000086644,"Fast Five (Fast and the Furious 5, The) (2011)",Action|Crime|Drama|Thriller|IMAX,
0000087520,Transformers: Dark of the Moon (2011),Action|Adventure|Sci-Fi|War|IMAX,
0000088140,Captain America: The First Avenger (2011),Action|Adventure|Sci-Fi|Thriller|War,
0000089904,The Artist (2011),Comedy|Drama|Romance,
0000090522,Johnny English Reborn (2011),Adventure|Comedy|Thriller,
0000091630,Mission: Impossible - Ghost Protocol (2011),Action|Adventure|Thriller|IMAX,
0000091974,Underworld: Awakening (2012),Action|Fantasy|Horror|IMAX,
0000091978,Man on a Ledge (2012),Crime|Thriller,
0000092507,Safe House (2012),Action|Crime|Mystery|Thriller,
0000093242,Gone (2012),Drama|Thriller,
0000093363,John Carter (2012),Action|Adventure|Sci-Fi|IMAX,
0000093838,The Raid: Redemption (2011),Action|Crime,
0000094405,Safe (2012),Action|Crime|Thriller,
0000094985,Get the Gringo (2012),Action|Crime|Drama|Thriller,
0000095875,Total Recall (2012),Action|Sci-Fi|Thriller,
0000096432,Lawless (2012),Crime|Drama,
0000096691,Resident Evil: Retribution (2012),Action|Horror|Sci-Fi|IMAX,
0000097188,Sinister (2012),Horror|Thriller,
0000097304,Argo (2012),Drama|Thriller,
0000097752,Cloud Atlas (2012),Drama|Sci-Fi|IMAX,
0000099114,Django Unchained (2012),Action|Drama|Western,
0000101895,42 (2013),Drama,
0000102088,"Grandmaster, The (Yi dai zong shi) (2013)",Action|Drama|IMAX,
0000102686,"Hangover Part III, The (2013)",Comedy,
0000103249,World War Z (2013),Action|Drama|Horror|IMAX,
0000103688,"Conjuring, The (2013)",Horror|Thriller,
0000104913,Rush (2013),Action|Drama,
0000105355,Blue Is the Warmest Color (La vie d'AdÃ¨le) (2013),Drama|Romance,
0000105504,Captain Phillips (2013),Adventure|Drama|Thriller|IMAX,
0000105653,Escape Plan (2013),Action|Mystery|Thriller,
0000106491,47 Ronin (2013),Action|Adventure|Fantasy,
0000106841,August: Osage County (2013),Comedy|Drama,
0000107462,Ninja: Shadow of a Tear (2013),Action|Crime|Thriller,
0000109487,Interstellar (2014),Sci-Fi|IMAX,
0000109578,Non-Stop (2014),Action|Mystery|Thriller,
0000109848,Under the Skin (2013),Horror|Sci-Fi|Thriller,
0000110102,Captain America: The Winter Soldier (2014),Action|Adventure|Sci-Fi|IMAX,
0000110501,The Raid 2: Berandal (2014),Action|Crime|Thriller,
0000110826,Brick Mansions (2014),Action|Crime|Drama,
0000111364,Godzilla (2014),Action|Adventure|Sci-Fi|IMAX,
0000111743,A Million Ways to Die in the West (2014),Comedy|Western,
0000111759,Edge of Tomorrow (2014),Action|Sci-Fi|IMAX,
0000111781,Mission: Impossible - Rogue Nation (2015),Action|Adventure|Thriller,
0000112370,Transformers: Age of Extinction (2014),Action|Adventure|Sci-Fi,
0000112552,Whiplash (2014),Drama,
0000113573,Sin City: A Dame to Kill For (2014),Action|Crime|Thriller,
0000114180,"Maze Runner, The (2014)",Action|Mystery|Sci-Fi,
0000114713,Annabelle (2014),Horror,
0000114795,Dracula Untold (2014),Action|Drama|Fantasy,
0000114935,Predestination (2014),Action|Mystery|Sci-Fi|Thriller,
0000115149,John Wick (2014),Action|Thriller,
0000115210,Fury (2014),Action|Drama|War,
0000116397,Stonehearst Asylum (2014),Thriller,
0000116668,Dead Snow 2: Red vs. Dead (2014) ,Action|Comedy|Horror,
0000116797,The Imitation Game (2014),Drama|Thriller|War,
0000116887,Exodus: Gods and Kings (2014),Action|Adventure|Drama,
0000116977,Dumb and Dumber To (2014),Comedy,
0000117895,Maze Runner: Scorch Trials (2015),Action|Thriller,
0000118328,The Protector 2 (2013),Action,
0000119145,Kingsman: The Secret Service (2015),Action|Adventure|Comedy|Crime,
0000122882,Mad Max: Fury Road (2015),Action|Adventure|Sci-Fi|Thriller,
0000122890,Warcraft (2016),Action|Adventure|Fantasy,
0000122892,Avengers: Age of Ultron (2015),Action|Adventure|Sci-Fi,
0000122900,Ant-Man (2015),Action|Adventure|Sci-Fi,
0000122904,Deadpool (2016),Action|Adventure|Comedy|Sci-Fi,
0000122912,Avengers: Infinity War - Part I (2018),Action|Adventure|Sci-Fi,
0000122914,Avengers: Infinity War - Part II (2019),Action|Adventure|Sci-Fi,
0000122920,Captain America: Civil War (2016),Action|Sci-Fi|Thriller,
0000128360,The Hateful Eight (2015),Western,
0000129937,Run All Night (2015),Action|Crime|Drama|Thriller,
0000130634,Furious 7 (2015),Action|Crime|Thriller,
0000130956,Child 44 (2015),Crime|Thriller,
0000131714,Last Knights (2015),Action|Adventure,
0000133195,Hitman: Agent 47 (2015),Action|Crime|Thriller,
0000134130,The Martian (2015),Adventure|Drama|Sci-Fi,
0000135530,Criminal (2016),Action|Crime|Drama|Sci-Fi,
0000138036,The Man from U.N.C.L.E. (2015),Action|Adventure|Comedy,
0000139385,The Revenant (2015),Adventure|Drama,
0000139642,Southpaw (2015),Action|Drama,
0000139644,Sicario (2015),Crime|Drama|Mystery,
0000142032,The Transporter Refuelled (2015),Action|Crime|Thriller,
0000142488,Spotlight (2015),Thriller,
0000146656,Creed (2015),Drama,
0000152061,Triple 9 (2016),Crime|Drama,
0000152091,The Brothers Grimsby (2016),Comedy,
0000157699,Snowden (2016),Drama|Thriller,
0000158966,Captain Fantastic (2016),Drama,
0000159061,The Wailing (2016),Mystery|Thriller,
0000160438,Jason Bourne (2016),Action,
0000160980,Sully (2016),Drama,
0000162082,Train to Busan (2016),Action|Thriller,
0000162350,The Magnificent Seven (2016),Action|Western,
0000162598,Deepwater Horizon (2016),Drama,
0000162606,The Accountant (2016),Crime|Drama|Thriller,
0000163645,Hacksaw Ridge (2016),Drama|War,
0000164981,Allied (2016),Action|Drama|Romance|Thriller|War,
0000168248,John Wick: Chapter Two (2017),Action|Crime|Thriller,
0000168366,Beauty and the Beast (2017),Fantasy|Romance,
0000169864,Life (2017),Horror|Sci-Fi|Thriller,
0000169984,Alien: Covenant (2017),Action|Horror|Sci-Fi|Thriller,
0000170827,The Mummy (2017),Action|Adventure|Fantasy|Horror|Thriller,
0000170891,The Legend Is Born: Ip Man (2010),Action|Drama,
0000171763,Baby Driver (2017),Action|Crime|Thriller,
0000173145,War for the Planet of the Apes (2017),Action|Adventure|Drama|Sci-Fi,
0000173161,Kidnap (2017),Drama|Thriller,
0000174585,Transformers: The Last Knight (2017),Action|Adventure|Sci-Fi|Thriller,
0000175199,Annabelle: Creation (2017),Horror,
0000175303,It (2017),Horror,
0000175585,Shot Caller (2017),Action|Crime|Drama|Thriller,
0000176937,Jigsaw (2017),Horror|Thriller,
0000177497,Hostiles (2017),Adventure|Drama|Western,
0000177593,"Three Billboards Outside Ebbing, Missouri (2017)",Crime|Drama,
0000183011,The Commuter (2018),Crime|Drama|Mystery|Thriller,
0000184069,Accident Man (2018),Action|Crime|Thriller,
0000185029,A Quiet Place (2018),Drama|Horror|Thriller,
0000186631,Everybody Knows (2018),Drama,
0000188301,Ant-Man and the Wasp (2018),Action|Adventure|Comedy|Fantasy|Sci-Fi,
0000189333,Mission: Impossible - Fallout (2018),Action|Adventure|Thriller,
0000191483,The Nun (2018),Horror|Mystery|Thriller,
0000192381,Apostle (2018),Horror|Thriller,
0000192385,A Star Is Born (2018),Drama|Romance,
0000192541,The Graduates (1986),Comedy|Romance,
0000193958,Creed II (2018),Drama,
0000194396,Overlord (2018),Action|Horror|Sci-Fi|Thriller|War,
0000195163,Bumblebee (2018),Action|Adventure|Sci-Fi,
0000197203,Triple Frontier (2019),Crime|Thriller,
0000200300,Triple Threat (2019),Action|Thriller,
0000200540,Aladdin (2019),Adventure|Fantasy|Romance,
0000200818,John Wick: Chapter 3 â€“ Parabellum (2019),Action|Crime|Thriller,
0000201340,The Lighthouse (2019),Drama|Fantasy|Horror,
0000203519,Fast & Furious Presents: Hobbs & Shaw (2019),Action,
0000204698,Joker (2019),Crime|Drama|Thriller,
0000206857,The Irishman (2019),Crime|Drama,
0000207830,Terminator: Dark Fate (2019),Action|Sci-Fi,
